sep=,
"Job","Clocked In","Clocked Out","Duration","Hourly Rate","Earnings","Comment","Tags","Breaks","Adjustments","TotalTimeAdjustment","TotalEarningsAdjustment"
"de Persgroep Online Services","01/04/2019 10:10","01/04/2019 16:37","6,5","78,63","511,09","","DPES004","","","",""
"de Persgroep Online Services","02/04/2019 08:16","02/04/2019 17:35","9,5","78,63","746,98","","DPES004","","","",""
"de Persgroep Online Services","03/04/2019 07:32","03/04/2019 15:52","8,5","78,63","668,35","","DPES004","","","",""
"de Persgroep Online Services","04/04/2019 07:48","04/04/2019 15:51","8","78,63","629,04","","DPES004","","","",""
"de Persgroep Online Services","05/04/2019 07:44","05/04/2019 16:25","8,5","78,63","668,35","","DPES004","","","",""
"de Persgroep Online Services","08/04/2019 08:04","08/04/2019 16:44","8,5","78,63","668,35","","DPES004","","","",""
"de Persgroep Online Services","09/04/2019 07:31","09/04/2019 19:55","12,5","78,63","982,87","","DPES004","","","",""
"de Persgroep Online Services","10/04/2019 07:42","10/04/2019 16:05","8,5","78,63","668,35","","DPES004","","","",""
"de Persgroep Online Services","11/04/2019 09:00","11/04/2019 09:00","0","78,63","0","Ziek","DPES004","","","",""
"de Persgroep Online Services","12/04/2019 09:00","12/04/2019 09:00","0","78,63","0","Ziek","DPES004","","","",""
"de Persgroep Online Services","15/04/2019 09:25","15/04/2019 16:36","7","78,63","550,41","","DPES004","","","",""
"de Persgroep Online Services","16/04/2019 08:00","16/04/2019 17:04","9","78,63","707,67","","DPES004","","","",""
"de Persgroep Online Services","17/04/2019 07:39","17/04/2019 16:28","9","78,63","707,67","","DPES004","","","",""
"de Persgroep Online Services","18/04/2019 07:45","18/04/2019 16:54","9","78,63","707,67","","DPES004","","","",""
"de Persgroep Online Services","19/04/2019 07:30","19/04/2019 15:32","8","78,63","629,04","","DPES004","","","",""
"de Persgroep Online Services","23/04/2019 07:52","23/04/2019 16:27","8,5","78,63","668,35","","DPES004","","","",""
"de Persgroep Online Services","24/04/2019 07:36","24/04/2019 17:10","9,5","78,63","746,98","","DPES004","","","",""
"de Persgroep Online Services","25/04/2019 07:46","25/04/2019 15:25","7,5","78,63","589,72","","DPES004","","","",""
"de Persgroep Online Services","26/04/2019 07:34","26/04/2019 17:29","10","78,63","786,3","","DPES004","","","",""
"de Persgroep Online Services","29/04/2019 07:39","29/04/2019 16:58","9,5","78,63","746,98","","DPES004","","","",""
"de Persgroep Online Services","30/04/2019 07:22","30/04/2019 17:13","10","78,63","786,3","","DPES004","","","",""
